,Track,Track_ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo,id,duration_ms,Cluster
1006,Keep On Dancing,0vlOOlNikdtQBkI1Ju1KjP,0.692,0.851,4,-8.749,0,0.036,0.0687,0.00204,0.0504,118.171,0vlOOlNikdtQBkI1Ju1KjP,390293,2
1007,Los Pilares,1arHrR2lzsETzTsRduMT5q,0.795,0.9,11,-6.987,1,0.0406,0.00619,0.727,0.096,114.005,1arHrR2lzsETzTsRduMT5q,341578,0
1008,Los Pilares,1arHrR2lzsETzTsRduMT5q,0.795,0.9,11,-6.987,1,0.0406,0.00619,0.727,0.096,114.005,1arHrR2lzsETzTsRduMT5q,341578,0
1009,Love Factory,4AtIhiUFAKl50d9Ul78RLR,0.676,0.688,2,-8.456,1,0.0285,0.529,0.354,0.145,119.99,4AtIhiUFAKl50d9Ul78RLR,303960,0
1010,Siesta Freestyle,6ZHKeoIOkvmYUIfxHLtE2Z,0.689,0.86,9,-5.159,1,0.0278,0.0726,0.00017,0.0454,100.058,6ZHKeoIOkvmYUIfxHLtE2Z,194160,1
1011,I Wish I Could (feat. Selah Sue),4LEM9GuAIk6f78yVNI5Ngm,0.671,0.735,7,-6.299,0,0.036,0.143,0.000339,0.173,94.967,4LEM9GuAIk6f78yVNI5Ngm,266643,0
1012,סתלבט בקיבוץ,2G1o9Mq8KpamOwJPZLuJc7,0.671,0.724,8,-8.799,1,0.0879,0.588,3.07e-05,0.47,167.998,2G1o9Mq8KpamOwJPZLuJc7,216810,1
1013,סתלבט בקיבוץ,2G1o9Mq8KpamOwJPZLuJc7,0.671,0.724,8,-8.799,1,0.0879,0.588,3.07e-05,0.47,167.998,2G1o9Mq8KpamOwJPZLuJc7,216810,1
1014,Tainted Love,1wAPbQ5XjbZqPl0WDl5mHH,0.843,0.335,9,-11.537,0,0.102,0.539,0.373,0.147,113.979,1wAPbQ5XjbZqPl0WDl5mHH,179474,1
1015,Alegría - Yuksek Remix,5Ly9lKxeE9YMVwQj52dpfo,0.838,0.719,4,-8.831,1,0.0949,0.00845,0.00522,0.0377,111.021,5Ly9lKxeE9YMVwQj52dpfo,258236,0
1016,iKalimba - Armonica Remix,54AzBFlsMex8x94L5bQ3F7,0.641,0.636,6,-11.339,0,0.037,0.000403,0.523,0.0991,119.993,54AzBFlsMex8x94L5bQ3F7,548800,2
1017,Toi Et Moi,3AVyKOmMgvRjsC576xWw78,0.703,0.76,11,-7.308,0,0.0635,0.00412,0.761,0.111,113.01,3AVyKOmMgvRjsC576xWw78,220853,1
1018,Toi Et Moi,3AVyKOmMgvRjsC576xWw78,0.703,0.76,11,-7.308,0,0.0635,0.00412,0.761,0.111,113.01,3AVyKOmMgvRjsC576xWw78,220853,1
1019,Sci-Fi,5hF1rSgXQ4EPdWdYb8E6q0,0.66,0.915,1,-2.43,0,0.0678,0.221,0.0,0.388,100.015,5hF1rSgXQ4EPdWdYb8E6q0,198540,1
1020,Everything Goes My Way,67wcAJeaNwGm0fcB4HzzYm,0.864,0.558,2,-8.196,0,0.0399,0.102,0.00105,0.178,129.969,67wcAJeaNwGm0fcB4HzzYm,210080,1
1021,Tokyo,1gYipuSzUpI6BENbGrgeid,0.654,0.696,9,-7.902,0,0.134,0.282,1.07e-05,0.0575,120.106,1gYipuSzUpI6BENbGrgeid,202160,1
1022,I Don't Need Nobody,1VKxTOTZxnMLk66EzOKlQY,0.692,0.811,11,-8.68,0,0.0422,0.0277,0.477,0.196,124.013,1VKxTOTZxnMLk66EzOKlQY,218875,1
1023,I Don't Need Nobody,1VKxTOTZxnMLk66EzOKlQY,0.692,0.811,11,-8.68,0,0.0422,0.0277,0.477,0.196,124.013,1VKxTOTZxnMLk66EzOKlQY,218875,1
1024,Somebody - Edit,6sGmDThWXd16RUqAI4VRFz,0.701,0.727,4,-8.421,0,0.0401,0.0308,0.852,0.164,121.989,6sGmDThWXd16RUqAI4VRFz,223604,1
1025,Goodbye Angels,2XTkpF9T2PKvcLgamGJGx1,0.365,0.804,9,-5.922,0,0.105,0.104,6.58e-05,0.15,171.597,2XTkpF9T2PKvcLgamGJGx1,268733,0
1026,Très Disco,0xVsnpBRJq8rmnN9uv2hJQ,0.715,0.684,1,-7.799,0,0.0447,0.0427,0.101,0.0664,110.04,0xVsnpBRJq8rmnN9uv2hJQ,289091,0
1027,Très Disco,0xVsnpBRJq8rmnN9uv2hJQ,0.715,0.684,1,-7.799,0,0.0447,0.0427,0.101,0.0664,110.04,0xVsnpBRJq8rmnN9uv2hJQ,289091,0
1028,Dancing in the Night - Lucky Shot Mix,0L4QHeJHEkpBvL1LS2i3wT,0.814,0.638,10,-9.793,1,0.0723,0.0218,0.7,0.515,122.001,0L4QHeJHEkpBvL1LS2i3wT,260164,0
1029,Hang Me Out To Dry (With Robyn),2gZ004qCMK82mKtOyJsdCC,0.381,0.423,1,-12.356,1,0.0517,0.4,0.0289,0.149,130.07,2gZ004qCMK82mKtOyJsdCC,230173,1
1030,Atlantic Oscillations,0FzxpBbzXCiOjNvSW0Q1NY,0.702,0.828,7,-8.882,1,0.0681,0.00828,0.855,0.0884,121.003,0FzxpBbzXCiOjNvSW0Q1NY,351147,0
1031,Atlantic Oscillations,0FzxpBbzXCiOjNvSW0Q1NY,0.702,0.828,7,-8.882,1,0.0681,0.00828,0.855,0.0884,121.003,0FzxpBbzXCiOjNvSW0Q1NY,351147,0
1032,Here I Go Again,2ZYHsRsl1E3FGKaZgTUMF1,0.781,0.535,10,-12.866,0,0.0658,0.0368,0.339,0.108,123.96,2ZYHsRsl1E3FGKaZgTUMF1,220325,1
1033,Here I Go Again,2ZYHsRsl1E3FGKaZgTUMF1,0.781,0.535,10,-12.866,0,0.0658,0.0368,0.339,0.108,123.96,2ZYHsRsl1E3FGKaZgTUMF1,220325,1
1034,Here I Go Again,2ZYHsRsl1E3FGKaZgTUMF1,0.781,0.535,10,-12.866,0,0.0658,0.0368,0.339,0.108,123.96,2ZYHsRsl1E3FGKaZgTUMF1,220325,1
1035,I Put A Spell On You,0sjxRg1VlYfx4YG7uxurrq,0.42,0.398,6,-9.13,0,0.0296,0.755,0.000537,0.172,88.897,0sjxRg1VlYfx4YG7uxurrq,155027,1
1036,I Put A Spell On You,0sjxRg1VlYfx4YG7uxurrq,0.42,0.398,6,-9.13,0,0.0296,0.755,0.000537,0.172,88.897,0sjxRg1VlYfx4YG7uxurrq,155027,1
1037,Groovejet (If This Ain't Love) [feat. Sophie Ellis-Bextor] - Purple Disco Machine & Lorenz Rhode Remix,6BLu3dd0GZM7jCDET7GSoL,0.721,0.666,9,-6.38,0,0.0373,0.0794,0.000545,0.134,123.019,6BLu3dd0GZM7jCDET7GSoL,208093,1
1038,Give Me the Night,5gaUkg5JNk8c4mr2jnpX8H,0.835,0.765,1,-7.831,1,0.0681,0.475,0.0692,0.12,110.282,5gaUkg5JNk8c4mr2jnpX8H,301026,0
